"time_period","time_identifier","geographic_level","country_code","country_name","region_name","region_code","breakdown_topic","breakdown","apps_received","apps_approved","loan_amount_awarded_in_thousands"
201617,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Arts, Media and Publishing","4030","3540","15100"
201617,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Business, Administration and Law","13600","11970","28700"
201617,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Construction, Planning and the Built Environment","3790","3370","13300"
201617,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Education and Training","9010","8150","15000"
201617,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Engineering and Manufacturing Technologies","1850","1640","7000"
201617,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Health, Public Services and Care","28140","24640","69100"
201617,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","History, Philosophy and Theology","550","460","1300"
201617,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Information and Communication Technology","1690","1430","5300"
201617,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Languages, Literature and Culture","320","310","400"
201617,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Leisure, Travel and Tourism","8520","7580","19700"
201617,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Preparation for Life and Work","10","10"," low"
201617,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Retail and Commercial Enterprise","14170","12330","36500"
201617,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Science and Mathematics","3150","2740","8400"
201617,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Social Sciences","2670","2220","6500"
201617,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Unknown/Not applicable","low","low"," low"
201617,"Academic year","National","E92000001","England","","","Total","Total","93660","82290","236200"
201617,"Academic year","National","E92000001","England","","","UK Status","Non-UK","16120","14520","43100"
201617,"Academic year","National","E92000001","England","","","UK Status","UK","77540","67770","193100"
201617,"Academic year","Regional","E92000001","England","North East","E12000001","Total","Total","7500","6410","18600"
201617,"Academic year","Regional","E92000001","England","North West","E12000002","Total","Total","12430","10760","31100"
201617,"Academic year","Regional","E92000001","England","Yorkshire and The Humber","E12000003","Total","Total","12330","10670","29500"
201617,"Academic year","Regional","E92000001","England","East Midlands","E12000004","Total","Total","6410","5620","15900"
201617,"Academic year","Regional","E92000001","England","West Midlands","E12000005","Total","Total","9240","8180","24200"
201617,"Academic year","Regional","E92000001","England","East of England","E12000006","Total","Total","7940","6890","21600"
201617,"Academic year","Regional","E92000001","England","London","E12000007","Total","Total","17940","16280","46700"
201617,"Academic year","Regional","E92000001","England","South East","E12000008","Total","Total","8730","7720","21300"
201617,"Academic year","Regional","E92000001","England","South West","E12000009","Total","Total","10410","9100","25700"
201617,"Academic year","Regional","E92000001","England","Outside of England and unknown","z","Total","Total","730","670","1800"
201718,"Academic year","National","E92000001","England","","","Age group","19-23","19390","16570","53800"
201718,"Academic year","National","E92000001","England","","","Age group","24-30","22930","19950","59100"
201718,"Academic year","National","E92000001","England","","","Age group","31-40","22900","20370","56500"
201718,"Academic year","National","E92000001","England","","","Age group","41-50","12010","10770","28700"
201718,"Academic year","National","E92000001","England","","","Age group","50+","4250","3780","9800"
201718,"Academic year","National","E92000001","England","","","Age group","Unknown","30","20","100"
201718,"Academic year","National","E92000001","England","","","Gender","Female","57090","50020","139800"
201718,"Academic year","National","E92000001","England","","","Gender","Male","24420","21440","68200"
201718,"Academic year","National","E92000001","England","","","Provider type","General FE College including Tertiary","44340","39050","113800"
201718,"Academic year","National","E92000001","England","","","Provider type","Other Public Funded","4110","3690","9500"
201718,"Academic year","National","E92000001","England","","","Provider type","Private Sector Public Funded","30460","26480","77500"
201718,"Academic year","National","E92000001","England","","","Provider type","Schools","120","110","300"
201718,"Academic year","National","E92000001","England","","","Provider type","Sixth form college","840","740","1800"
201718,"Academic year","National","E92000001","England","","","Provider type","Special colleges","1600","1380","5100"
201718,"Academic year","National","E92000001","England","","","Provider type","Unknown","30","20","100"
201718,"Academic year","National","E92000001","England","","","Qualification type","A Level","520","400","500"
201718,"Academic year","National","E92000001","England","","","Qualification type","Level 3 Certificate","6250","5650","6600"
201718,"Academic year","National","E92000001","England","","","Qualification type","Level 3 Diploma","44990","40130","123700"
201718,"Academic year","National","E92000001","England","","","Qualification type","Level 3 Vocational Qualification","5290","4490","12500"
201718,"Academic year","National","E92000001","England","","","Qualification type","Level 4+ Certificate","1130","1010","1100"
201718,"Academic year","National","E92000001","England","","","Qualification type","Level 4+ Diploma","3510","3120","10900"
201718,"Academic year","National","E92000001","England","","","Qualification type","Level 4+ Vocational Qualification","1520","1320","2700"
201718,"Academic year","National","E92000001","England","","","Qualification type","QAA Access to HE","18270","15320","50000"
201718,"Academic year","National","E92000001","England","","","Qualification type","Unknown","30","20","100"
201718,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Agriculture, Horticulture and Animal Care","1890","1640","8300"
201718,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Arts, Media and Publishing","3690","3200","13800"
201718,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Business, Administration and Law","9920","8800","20800"
201718,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Construction, Planning and the Built Environment","3710","3310","13100"
201718,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Education and Training","7210","6500","12300"
201718,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Engineering and Manufacturing Technologies","2090","1800","7500"
201718,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Health, Public Services and Care","23320","20160","57300"
201718,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","History, Philosophy and Theology","510","430","1200"
201718,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Information and Communication Technology","1450","1260","4700"
201718,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Languages, Literature and Culture","330","320","400"
201718,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Leisure, Travel and Tourism","7830","7130","18900"
201718,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Preparation for Life and Work"," low"," low"," low"
201718,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Retail and Commercial Enterprise","12010","10510","30800"
201718,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Science and Mathematics","2770","2320","7300"
201718,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Social Sciences","2510","2060","6100"
201718,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Unknown/Not applicable","2260","2030","5500"
201718,"Academic year","National","E92000001","England","","","Total","Total","81510","71460","208000"
201718,"Academic year","National","E92000001","England","","","UK Status","Non-UK","13790","12430","37000"
201718,"Academic year","National","E92000001","England","","","UK Status","UK","67710","59030","171000"
201718,"Academic year","Regional","E92000001","England","North East","E12000001","Total","Total","7770","6800","19000"
201718,"Academic year","Regional","E92000001","England","North West","E12000002","Total","Total","11080","9550","27800"
201718,"Academic year","Regional","E92000001","England","Yorkshire and The Humber","E12000003","Total","Total","8940","7620","21400"
201718,"Academic year","Regional","E92000001","England","East Midlands","E12000004","Total","Total","4650","4120","11800"
201718,"Academic year","Regional","E92000001","England","West Midlands","E12000005","Total","Total","8920","7770","23600"
201718,"Academic year","Regional","E92000001","England","East of England","E12000006","Total","Total","6410","5640","18300"
201718,"Academic year","Regional","E92000001","England","London","E12000007","Total","Total","15430","13870","40400"
201718,"Academic year","Regional","E92000001","England","South East","E12000008","Total","Total","7370","6510","18800"
201718,"Academic year","Regional","E92000001","England","South West","E12000009","Total","Total","9590","8400","23800"
201718,"Academic year","Regional","E92000001","England","Outside of England and unknown","z","Total","Total","1350","1190","3000"
201819,"Academic year","National","E92000001","England","","","Age group","19-23","18200","15590","51000"
201819,"Academic year","National","E92000001","England","","","Age group","24-30","21410","18690","56300"
201819,"Academic year","National","E92000001","England","","","Age group","31-40","22290","20020","55800"
201819,"Academic year","National","E92000001","England","","","Age group","41-50","11310","10140","27100"
201819,"Academic year","National","E92000001","England","","","Age group","50+","4380","3890","10100"
201819,"Academic year","National","E92000001","England","","","Age group","Unknown","20","10","low"
201819,"Academic year","National","E92000001","England","","","Gender","Female","55820","49330","139200"
201819,"Academic year","National","E92000001","England","","","Gender","Male","21780","19000","61100"
201819,"Academic year","National","E92000001","England","","","Provider type","General FE College including Tertiary","44060","38770","112700"
201819,"Academic year","National","E92000001","England","","","Provider type","Other Public Funded","3220","2860","7300"
201819,"Academic year","National","E92000001","England","","","Provider type","Private Sector Public Funded","28030","24660","73300"
201819,"Academic year","National","E92000001","England","","","Provider type","Schools","10","10"," low "
201819,"Academic year","National","E92000001","England","","","Provider type","Sixth form college","610","540","1300"
201819,"Academic year","National","E92000001","England","","","Provider type","Special colleges","1680","1490","5700"
201819,"Academic year","National","E92000001","England","","","Provider type","Unknown","10"," low "," low "
201819,"Academic year","National","E92000001","England","","","Qualification type","A Level","440","340","400"
201819,"Academic year","National","E92000001","England","","","Qualification type","Level 3 Certificate","5680","5150","5800"
201819,"Academic year","National","E92000001","England","","","Qualification type","Level 3 Diploma","42620","38090","116700"
201819,"Academic year","National","E92000001","England","","","Qualification type","Level 3 Vocational Qualification","4790","4200","12900"
201819,"Academic year","National","E92000001","England","","","Qualification type","Level 4+ Certificate","1300","1210","1300"
201819,"Academic year","National","E92000001","England","","","Qualification type","Level 4+ Diploma","3760","3300","12000"
201819,"Academic year","National","E92000001","England","","","Qualification type","Level 4+ Vocational Qualification","1430","1250","2800"
201819,"Academic year","National","E92000001","England","","","Qualification type","QAA Access to HE","17570","14790","48300"
201819,"Academic year","National","E92000001","England","","","Qualification type","Unknown","20","10"," low "
201819,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Agriculture, Horticulture and Animal Care","1920","1710","8700"
201819,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Arts, Media and Publishing","3490","3030","13500"
201819,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Business, Administration and Law","9880","8820","22000"
201819,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Construction, Planning and the Built Environment","3150","2740","10600"
201819,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Education and Training","5950","5420","10200"
201819,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Engineering and Manufacturing Technologies","1990","1660","7200"
201819,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Health, Public Services and Care","25200","22210","61600"
201819,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","History, Philosophy and Theology","430","360","1100"
201819,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Information and Communication Technology","1190","1000","4000"
201819,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Languages, Literature and Culture","290","270","300"
201819,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Leisure, Travel and Tourism","6900","6260","16200"
201819,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Preparation for Life and Work"," low "," low "," low "
201819,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Retail and Commercial Enterprise","11990","10500","31700"
201819,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Science and Mathematics","2590","2170","6800"
201819,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Social Sciences","2630","2170","6400"
201819,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Unknown/Not applicable","10","10"," low "
201819,"Academic year","National","E92000001","England","","","Total","Total","77610","68330","200300"
201819,"Academic year","National","E92000001","England","","","UK Status","Non-UK","13280","12020","36100"
201819,"Academic year","National","E92000001","England","","","UK Status","UK","64330","56320","164200"
201819,"Academic year","Regional","E92000001","England","North East","E12000001","Total","Total","5460","4800","13700"
201819,"Academic year","Regional","E92000001","England","North West","E12000002","Total","Total","10790","9410","26900"
201819,"Academic year","Regional","E92000001","England","Yorkshire and The Humber","E12000003","Total","Total","8170","7160","21000"
201819,"Academic year","Regional","E92000001","England","East Midlands","E12000004","Total","Total","4600","4040","11500"
201819,"Academic year","Regional","E92000001","England","West Midlands","E12000005","Total","Total","8960","7690","23600"
201819,"Academic year","Regional","E92000001","England","East of England","E12000006","Total","Total","6830","6120","20100"
201819,"Academic year","Regional","E92000001","England","London","E12000007","Total","Total","13260","11950","35300"
201819,"Academic year","Regional","E92000001","England","South East","E12000008","Total","Total","7680","6830","20000"
201819,"Academic year","Regional","E92000001","England","South West","E12000009","Total","Total","9230","8120","22500"
201819,"Academic year","Regional","E92000001","England","Outside of England and unknown","z","Total","Total","2620","2220","5900"
201920,"Academic year","National","E92000001","England","","","Age group","19-23","15530","13660","45300"
201920,"Academic year","National","E92000001","England","","","Age group","24-30","18490","16100","49300"
201920,"Academic year","National","E92000001","England","","","Age group","31-40","21060","18710","53400"
201920,"Academic year","National","E92000001","England","","","Age group","41-50","10390","9300","25100"
201920,"Academic year","National","E92000001","England","","","Age group","50+","3930","3510","9300"
201920,"Academic year","National","E92000001","England","","","Age group","Unknown","10","low","low"
201920,"Academic year","National","E92000001","England","","","Gender","Female","50160","44390","126700"
201920,"Academic year","National","E92000001","England","","","Gender","Male","19240","16890","55800"
201920,"Academic year","National","E92000001","England","","","Provider type","General FE College including Tertiary","41740","37260","110600"
201920,"Academic year","National","E92000001","England","","","Provider type","Other Public Funded","2960","2640","7200"
201920,"Academic year","National","E92000001","England","","","Provider type","Private Sector Public Funded","22700","19590","58500"
201920,"Academic year","National","E92000001","England","","","Provider type","Schools","low","low","low"
201920,"Academic year","National","E92000001","England","","","Provider type","Sixth form college","560","500","1300"
201920,"Academic year","National","E92000001","England","","","Provider type","Special colleges","1440","1280","4900"
201920,"Academic year","National","E92000001","England","","","Provider type","Unknown","low","low","low"
201920,"Academic year","National","E92000001","England","","","Qualification type","A Level","340","270","400"
201920,"Academic year","National","E92000001","England","","","Qualification type","Level 3 Certificate","5110","4630","5200"
201920,"Academic year","National","E92000001","England","","","Qualification type","Level 3 Diploma","37450","33080","102700"
201920,"Academic year","National","E92000001","England","","","Qualification type","Level 3 Vocational Qualification","4540","3970","13000"
201920,"Academic year","National","E92000001","England","","","Qualification type","Level 4+ Certificate","1070","970","1000"
201920,"Academic year","National","E92000001","England","","","Qualification type","Level 4+ Diploma","3840","3400","12000"
201920,"Academic year","National","E92000001","England","","","Qualification type","Level 4+ Vocational Qualification","1200","1040","2500"
201920,"Academic year","National","E92000001","England","","","Qualification type","QAA Access to HE","15840","13930","45600"
201920,"Academic year","National","E92000001","England","","","Qualification type","Unknown","20","low","low"
201920,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Agriculture, Horticulture and Animal Care","1740","1530","7300"
201920,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Arts, Media and Publishing","3080","2740","12200"
201920,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Business, Administration and Law","7890","7150","18000"
201920,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Construction, Planning and the Built Environment","2550","2310","8900"
201920,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Education and Training","4920","4480","8200"
201920,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Engineering and Manufacturing Technologies","2100","1780","8300"
201920,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Health, Public Services and Care","21070","18720","51900"
201920,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","History, Philosophy and Theology","70","60","100"
201920,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Information and Communication Technology","890","770","3000"
201920,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Languages, Literature and Culture","280","240","400"
201920,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Leisure, Travel and Tourism","6080","5280","13700"
