"time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","la_name","old_la_code","new_la_code","breakdown","group_name","total_ects_count_provider_led","total_mentors_trained_count_provider_led","count_swfc_ects","count_swfc_ects_pending_confirmation_provider_led","count_swfc_ects_provider_led","count_swfc_ects_school_led","percent_swfc_ects_pending_confirmation_provider_led","percent_swfc_ects_provider_led","percent_swfc_ects_school_led"
"202122","Academic year","National","E92000001","England",,,,,,"Working pattern","Part time",1307,3942,1177,1,1137,39,"0.1","96.6","3.3"
"202223","Academic year","National","E92000001","England",,,,,,"Working pattern","Part time",1078,3071,954,0,929,25,"0","97.4","2.6"
"202122","Academic year","National","E92000001","England",,,,,,"Working pattern","Unknown",2085,1146,0,0,0,0,"z","z","z"
"202223","Academic year","National","E92000001","England",,,,,,"Working pattern","Unknown",4799,876,0,0,0,0,"z","z","z"
"202122","Academic year","National","E92000001","England",,,,,,"Appropriate body type","Independent Schools Teacher Induction Panel",61,0,35,0,33,2,"0","94.3","5.7"
"202223","Academic year","National","E92000001","England",,,,,,"Appropriate body type","Independent Schools Teacher Induction Panel",11,0,0,0,0,0,"z","z","z"
"202122","Academic year","National","E92000001","England",,,,,,"Appropriate body type","Local Authority",13243,9,12210,21,11456,733,"0.2","93.8","6"
"202223","Academic year","National","E92000001","England",,,,,,"Appropriate body type","Local Authority",10311,3,8641,1,8099,541,"0","93.7","6.3"
"202122","Academic year","National","E92000001","England",,,,,,"Appropriate body type","National Teacher Accreditation",865,0,827,1,739,87,"0.1","89.4","10.5"
"202223","Academic year","National","E92000001","England",,,,,,"Appropriate body type","National Teacher Accreditation",735,0,598,0,518,80,"0","86.6","13.4"
"202122","Academic year","National","E92000001","England",,,,,,"Appropriate body type","Teaching School Hub",12479,26704,10920,15,10735,170,"0.1","98.3","1.6"
"202223","Academic year","National","E92000001","England",,,,,,"Appropriate body type","Teaching School Hub",15234,19365,11750,0,11550,200,"0","98.3","1.7"
