time_period,time_identifier,geographic_level,country_code,country_name,region_name,region_code,characteristic_group,characteristic,qualification_type,ssa_t1_desc,provider_type,apps_received,apps_approved,loan_amount_awarded_in_thousands
201718,Academic year,National,E92000001,England,,,Age group,50+,Total,Total,Total,4250,3780,9800
201718,Academic year,National,E92000001,England,,,Age group,Unknown,Total,Total,Total,30,20,100
201718,Academic year,National,E92000001,England,,,UK Status,UK,Total,Total,Total,67710,59030,171000
201718,Academic year,National,E92000001,England,,,UK Status,Non-UK,Total,Total,Total,13790,12430,37000
201718,Academic year,National,E92000001,England,,,Total,Total,A Level,Total,Total,520,400,500
201718,Academic year,National,E92000001,England,,,Total,Total,QAA Access to HE,Total,Total,18270,15320,50000
201718,Academic year,National,E92000001,England,,,Total,Total,Level 3 Certificate,Total,Total,6250,5650,6600
201718,Academic year,National,E92000001,England,,,Total,Total,Level 3 Diploma,Total,Total,44990,40130,123700
201718,Academic year,National,E92000001,England,,,Total,Total,Level 3 Vocational Qualification,Total,Total,5290,4490,12500
201718,Academic year,National,E92000001,England,,,Total,Total,Level 4+ Certificate,Total,Total,1130,1010,1100
201718,Academic year,National,E92000001,England,,,Total,Total,Level 4+ Diploma,Total,Total,3510,3120,10900
201718,Academic year,National,E92000001,England,,,Total,Total,Level 4+ Vocational Qualification,Total,Total,1520,1320,2700
201718,Academic year,National,E92000001,England,,,Total,Total,Unknown,Total,Total,30,20,100
201718,Academic year,Regional,E92000001,England,East Midlands,E12000004,Total,Total,Total,Total,Total,4650,4120,11800
201718,Academic year,Regional,E92000001,England,East of England,E12000006,Total,Total,Total,Total,Total,6410,5640,18300
201718,Academic year,Regional,E92000001,England,London,E12000007,Total,Total,Total,Total,Total,15430,13870,40400
201718,Academic year,Regional,E92000001,England,North East,E12000001,Total,Total,Total,Total,Total,7770,6800,19000
201718,Academic year,Regional,E92000001,England,North West,E12000002,Total,Total,Total,Total,Total,11080,9550,27800
201718,Academic year,Regional,E92000001,England,South East,E12000008,Total,Total,Total,Total,Total,7370,6510,18800
201718,Academic year,Regional,E92000001,England,South West,E12000009,Total,Total,Total,Total,Total,9590,8400,23800
201718,Academic year,Regional,E92000001,England,West Midlands,E12000005,Total,Total,Total,Total,Total,8920,7770,23600
201718,Academic year,Regional,E92000001,England,Yorkshire and The Humber,E12000003,Total,Total,Total,Total,Total,8940,7620,21400
201718,Academic year,Regional,E92000001,England,Outside of England and unknown,z,Total,Total,Total,Total,Total,1350,1190,3000
201718,Academic year,National,E92000001,England,,,Total,Total,Total,"Agriculture, Horticulture and Animal Care",Total,1890,1640,8300
201718,Academic year,National,E92000001,England,,,Total,Total,Total,"Arts, Media and Publishing",Total,3690,3200,13800
201718,Academic year,National,E92000001,England,,,Total,Total,Total,"Business, Administration and Law",Total,9920,8800,20800
201718,Academic year,National,E92000001,England,,,Total,Total,Total,"Construction, Planning and the Built Environment",Total,3710,3310,13100
201718,Academic year,National,E92000001,England,,,Total,Total,Total,Education and Training,Total,7210,6500,12300
201718,Academic year,National,E92000001,England,,,Total,Total,Total,Engineering and Manufacturing Technologies,Total,2090,1800,7500
201718,Academic year,National,E92000001,England,,,Total,Total,Total,"Health, Public Services and Care",Total,23320,20160,57300
201718,Academic year,National,E92000001,England,,,Total,Total,Total,"History, Philosophy and Theology",Total,510,430,1200
201718,Academic year,National,E92000001,England,,,Total,Total,Total,Information and Communication Technology,Total,1450,1260,4700
201718,Academic year,National,E92000001,England,,,Total,Total,Total,"Languages, Literature and Culture",Total,330,320,400
201718,Academic year,National,E92000001,England,,,Total,Total,Total,"Leisure, Travel and Tourism",Total,7830,7130,18900
201718,Academic year,National,E92000001,England,,,Total,Total,Total,Preparation for Life and Work,Total, low, low, low
201718,Academic year,National,E92000001,England,,,Total,Total,Total,Retail and Commercial Enterprise,Total,12010,10510,30800
201718,Academic year,National,E92000001,England,,,Total,Total,Total,Science and Mathematics,Total,2770,2320,7300
201718,Academic year,National,E92000001,England,,,Total,Total,Total,Social Sciences,Total,2510,2060,6100
201718,Academic year,National,E92000001,England,,,Total,Total,Total,Unknown/Not applicable,Total,2260,2030,5500
201718,Academic year,National,E92000001,England,,,Total,Total,Total,Total,General FE College including Tertiary,44340,39050,113800
201718,Academic year,National,E92000001,England,,,Total,Total,Total,Total,Sixth form college,840,740,1800
201718,Academic year,National,E92000001,England,,,Total,Total,Total,Total,Special colleges,1600,1380,5100
201718,Academic year,National,E92000001,England,,,Total,Total,Total,Total,Other Public Funded,4110,3690,9500
201718,Academic year,National,E92000001,England,,,Total,Total,Total,Total,Schools,120,110,300
201718,Academic year,National,E92000001,England,,,Total,Total,Total,Total,Private Sector Public Funded,30460,26480,77500
201718,Academic year,National,E92000001,England,,,Total,Total,Total,Total,Unknown,30,20,100
201819,Academic year,National,E92000001,England,,,Total,Total,Total,Total,Total,77610,68330,200300
201819,Academic year,National,E92000001,England,,,Gender,Male,Total,Total,Total,21780,19000,61100
201819,Academic year,National,E92000001,England,,,Gender,Female,Total,Total,Total,55820,49330,139200
201819,Academic year,National,E92000001,England,,,Age group,19-23,Total,Total,Total,18200,15590,51000
